5-2c全国分性别、职业、婚姻状况的人口(乡村)-职业大类,单位：人-15岁及以上人口-合计,男,女,未婚-小计,男.1,女.1,有配偶-小计,男.2,女.2,离婚-小计,男.3,女.3,丧偶-小计,男.4,女.4
总  计,39445037,21241419,18203618,6114508,3905122,2209386,31627401,16465342,15162059,446524,329526,116998,1256604,541429,715175
国家机关、党群组织、企业、事业单位负责人,177013,140778,36235,14041,9513,4528,159375,128932,30443,1888,1369,519,1709,964,745
专业技术人员,704207,409224,294983,158843,77079,81764,530787,324033,206754,7464,4229,3235,7113,3883,3230
办事人员和有关人员,302088,231963,70125,78690,54900,23790,214240,169561,44679,4464,3683,781,4694,3819,875
商业、服务业人员,2575655,1273792,1301863,601268,296938,304330,1902479,945585,956894,33409,17660,15749,38499,13609,24890
农、林、牧、渔、水利业生产人员,29497444,14994383,14503061,3855170,2501170,1354000,24179044,11771326,12407718,322626,239406,83220,1140604,482481,658123
生产、运输设备操作人员及有关人员,6168882,4179137,1989745,1402188,962648,439540,4626733,3117043,1509690,76405,62977,13428,63556,36469,27087
不便分类的其他从业人员,19748,12142,7606,4308,2874,1434,14743,8862,5881,268,202,66,429,204,225
